	Mg-glutamate	K-glutamate	Amino acid	Spermidine	3-PGA	NTPs	PEG-8000	DNA	HEPES	Malachite green
89	67.5	0.0	222.5	105.0	337.5	152.5	787.5	2100.0	262.5	105.0
90	22.5	277.5	880.0	27.5	337.5	152.5	267.5	1722.5	262.5	105.0
91	45.0	142.5	1312.5	105.0	337.5	152.5	267.5	1722.5	262.5	105.0
92	0.0	0.0	1312.5	52.5	225.0	152.5	1575.0	1345.0	262.5	105.0
93	0.0	0.0	0.0	0.0	337.5	152.5	787.5	1722.5	262.5	105.0
94	45.0	277.5	1312.5	52.5	225.0	152.5	0.0	1722.5	262.5	105.0
95	22.5	0.0	0.0	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
96	45.0	277.5	880.0	80.0	337.5	152.5	520.0	1722.5	262.5	105.0
97	22.5	0.0	880.0	0.0	170.0	152.5	1055.0	1722.5	262.5	105.0
98	22.5	142.5	1312.5	0.0	57.5	152.5	267.5	2100.0	262.5	105.0
99	67.5	0.0	1312.5	27.5	337.5	152.5	0.0	1722.5	262.5	105.0
100	0.0	0.0	880.0	27.5	337.5	152.5	520.0	2100.0	262.5	105.0
101	45.0	0.0	1312.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
102	22.5	0.0	1312.5	27.5	337.5	152.5	0.0	2100.0	262.5	105.0
103	22.5	0.0	1312.5	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
104	45.0	0.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
105	0.0	0.0	880.0	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
106	0.0	142.5	1312.5	80.0	225.0	152.5	1055.0	2100.0	262.5	105.0
107	22.5	142.5	655.0	80.0	337.5	152.5	787.5	2100.0	262.5	105.0
108	0.0	277.5	1312.5	80.0	225.0	152.5	520.0	2100.0	262.5	105.0
109	0.0	277.5	880.0	27.5	337.5	152.5	787.5	2100.0	262.5	105.0
110	0.0	142.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
111	22.5	0.0	880.0	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
112	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
113	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
114	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
115	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
116	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
117	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
118	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
119	0.0	142.5	880.0	80.0	170.0	152.5	787.5	2100.0	262.5	105.0
120	45.0	142.5	222.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
121	0.0	0.0	222.5	52.5	337.5	152.5	787.5	1722.5	262.5	105.0
122	22.5	142.5	1312.5	52.5	225.0	152.5	1575.0	2100.0	262.5	105.0
123	45.0	142.5	1312.5	27.5	225.0	152.5	267.5	1722.5	262.5	105.0
124	22.5	420.0	1312.5	80.0	225.0	152.5	267.5	2100.0	262.5	105.0
125	67.5	0.0	880.0	0.0	337.5	152.5	267.5	2100.0	262.5	105.0
126	0.0	0.0	880.0	27.5	337.5	152.5	787.5	1345.0	262.5	105.0
127	45.0	142.5	880.0	80.0	337.5	152.5	1055.0	1722.5	262.5	105.0
128	45.0	142.5	432.5	105.0	337.5	152.5	1055.0	2100.0	262.5	105.0
129	0.0	420.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
130	22.5	420.0	1312.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
131	90.0	0.0	432.5	27.5	337.5	152.5	1055.0	2100.0	262.5	105.0
132	22.5	277.5	655.0	105.0	337.5	152.5	267.5	2100.0	262.5	105.0
133	22.5	142.5	432.5	80.0	337.5	152.5	0.0	2100.0	262.5	105.0
134	45.0	0.0	880.0	80.0	225.0	152.5	520.0	1722.5	262.5	105.0
135	0.0	0.0	1312.5	27.5	337.5	102.5	520.0	2100.0	262.5	105.0
136	45.0	142.5	1312.5	52.5	170.0	152.5	520.0	1722.5	262.5	105.0
137	22.5	277.5	1312.5	52.5	170.0	152.5	1055.0	2100.0	262.5	105.0
138	67.5	0.0	432.5	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
139	67.5	0.0	222.5	105.0	337.5	152.5	787.5	2100.0	262.5	105.0
140	22.5	277.5	880.0	27.5	337.5	152.5	267.5	1722.5	262.5	105.0
141	45.0	142.5	1312.5	105.0	337.5	152.5	267.5	1722.5	262.5	105.0
142	0.0	0.0	1312.5	52.5	225.0	152.5	1575.0	1345.0	262.5	105.0
143	0.0	0.0	0.0	0.0	337.5	152.5	787.5	1722.5	262.5	105.0
144	45.0	277.5	1312.5	52.5	225.0	152.5	0.0	1722.5	262.5	105.0
145	22.5	0.0	0.0	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
146	45.0	277.5	880.0	80.0	337.5	152.5	520.0	1722.5	262.5	105.0
147	22.5	0.0	880.0	0.0	170.0	152.5	1055.0	1722.5	262.5	105.0
148	22.5	142.5	1312.5	0.0	57.5	152.5	267.5	2100.0	262.5	105.0
149	67.5	0.0	1312.5	27.5	337.5	152.5	0.0	1722.5	262.5	105.0
150	0.0	0.0	880.0	27.5	337.5	152.5	520.0	2100.0	262.5	105.0
151	45.0	0.0	1312.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
152	22.5	0.0	1312.5	27.5	337.5	152.5	0.0	2100.0	262.5	105.0
153	22.5	0.0	1312.5	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
154	45.0	0.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
155	0.0	0.0	880.0	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
156	0.0	142.5	1312.5	80.0	225.0	152.5	1055.0	2100.0	262.5	105.0
157	22.5	142.5	655.0	80.0	337.5	152.5	787.5	2100.0	262.5	105.0
158	0.0	277.5	1312.5	80.0	225.0	152.5	520.0	2100.0	262.5	105.0
159	0.0	277.5	880.0	27.5	337.5	152.5	787.5	2100.0	262.5	105.0
160	0.0	142.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
161	22.5	0.0	880.0	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
162	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
163	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
164	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
165	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
166	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
167	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
168	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
169	0.0	142.5	880.0	80.0	170.0	152.5	787.5	2100.0	262.5	105.0
